user_id,image_paths,user_claim,claim_object,evidence_standard_met,evidence_standard_met_reason,risk_flags,issue_type,object_part,claim_status,claim_status_justification,supporting_image_ids,valid_image,severity
user_001,images/sample/case_001/img_1.jpg,"Customer: Hi, I found new damage on my car after it was parked outside overnight. | Support: Sorry to hear that. Can you describe what changed? | Customer: The back of the car has a dent now. It was not there before. | Support: Did anything else break or is it mostly body damage? | Customer: Mostly the rear bumper area. I attached the photo I took this morning.",car,true,"The image 'img_1' clearly shows a significant dent on the rear bumper of the car, which is consistent with the customer's claim. The image quality is clear and meets the evidence standard.",none,dent,rear_bumper,supported,"img_1 shows a clear and significant dent on the rear bumper, supporting the customer's claim. The image quality is satisfactory and meets the evidence standard, justifying the supported status.",img_1,true,medium
user_002,images/sample/case_002/img_1.jpg;images/sample/case_002/img_2.jpg,"Customer: Parking lot mein meri car ko scrape lag gaya. | Support: Aap kis type ka damage report karna chahte hain? | Customer: Front side par mark aa gaya hai, bumper ke upar. | Support: Light damage hai ya body par scratch? | Customer: Light theek hai, front bumper par scratch hai. Photos upload kar diye hain.",car,true,"The full front view in img_2 provides a clear view of the front bumper, which is free of any visible scratches. No image quality issues affected the assessment.",damage_not_visible,none,front_bumper,contradicted,"img_2 shows no visible scratches on the front bumper. The damage assessor confirmed that the front bumper is free of any signs of a scratch, and no image quality issues were present.",img_2,true,none
user_004,images/sample/case_003/img_1.jpg;images/sample/case_003/img_2.jpg,"Customer: I am opening a claim for my windshield. | Support: What happened? | Customer: A small stone hit it while I was driving and now there is a crack spreading from that spot. | Support: Is the car otherwise okay? | Customer: Yes, this is only about the front glass. I added the pictures I have.",car,false,Automated review failed — manual review required.,manual_review_required,unknown,unknown,not_enough_information,Automated review failed — manual review required.,none,false,unknown
user_007,images/sample/case_004/img_1.jpg,"Customer: Someone clipped my car while it was parked. | Support: What part was hit? | Customer: The side mirror got damaged. It is not sitting the way it should anymore. | Support: Was there any damage to the door too? | Customer: I did not notice anything else major, just the mirror.",car,true,"img_1 shows clear visible cracks on the side mirror, confirming the damage. The image quality is satisfactory and meets the evidence standard.",none,broken_part,side_mirror,supported,"img_1 clearly shows visible cracks on the side mirror, indicating a broken part. The image quality is good and supports the claim, with no issues affecting the assessment.",img_1,true,medium
user_005,images/sample/case_005/img_1.jpg;images/sample/case_005/img_2.jpg,"Customer: I want to file this as bumper damage. | Support: Can you tell me what happened? | Customer: The car was tapped from behind and now the back looks damaged. | Support: Are you asking for review of the rear side? | Customer: Yes, the back bumper. It looks pretty bad to me, so I uploaded both photos.",car,true,The rear bumper in img_2 is clearly visible and shows no signs of a dent. The surface appears smooth and undamaged. The images meet the evidence standard with no quality issues detected.,damage_not_visible;user_history_risk;manual_review_required,none,rear_bumper,contradicted,"img_2 shows the rear bumper of the car and there are no visible signs of a dent. The surface appears undamaged, and no quality issues were detected in the images. Given the user's history of exaggerated claims, this context is noted but does not change the assessment.",img_2,true,none
user_006,images/sample/case_006/img_1.jpg,"Customer: Hi, I am not fully sure how to explain this because I noticed it only after reaching home. | Support: No problem, please tell me what happened. | Customer: There was a small bump earlier, nothing major, and I first thought everything was fine. Later I looked at the car again because my family member said the front area looked different. | Support: Are you reporting a general vehicle issue or a specific damaged part? | Customer: I was confused at first because I checked the side and the front and walked around the car a few times. I do not want to claim the wrong thing. | Support: That is okay. What part do you want reviewed? | Customer: After checking again, I think the issue is with the headlight. It looks like the headlight may be cracked, so please review that part.",car,false,"The image does not provide a clear view of the headlight, making it impossible to assess the claimed crack.",damage_not_visible;non_original_image;manual_review_required,crack,headlight,not_enough_information,"The image provided does not show the headlight clearly enough to inspect for a crack, and it appears to be a stock photo rather than an original image. Therefore, there is not enough information to determine the validity of the claim.",none,false,unknown
user_003,images/sample/case_007/img_1.jpg;images/sample/case_007/img_2.jpg,"Customer: There is a dent along the side of my car. | Support: When did you notice it? | Customer: This morning, after the car had been parked near the gate. | Support: Is it near the front or back? | Customer: It is on the door panel area. I attached two photos from different distances.",car,true,"Image img_2 provides a clear view of the car door with a visible dent, meeting the evidence standard for assessing the claim. The first image is blurry but does not affect the assessment as the second image is clear and sufficient.",blurry_image,dent,door,supported,The claim is supported by a clear image (img_2) showing a dent on the car door. The first image is blurry but does not impact the assessment as the second image is sufficient to confirm the damage. The evidence meets the standard for medium severity dent.,img_2,true,medium
user_008,images/sample/case_008/img_1.jpg,"Customer: I picked up my car after service and noticed a mark on the hood. | Support: What kind of mark is it? | Customer: It looks like a scratch across the top panel. | Support: Do you think it happened during service? | Customer: Yes, that is why I am asking for review. The photo is attached.",car,true,"The submitted image (img_1) clearly shows the hood of the car, allowing for an assessment of the claimed damage. However, the visible damage is extensive and does not match the description of a scratch; the hood appears to be severely damaged with significant deformation and missing parts.",damage_not_visible;non_original_image;user_history_risk;manual_review_required,none,hood,contradicted,"img_1 shows the hood of the car, but the visible damage is extensive and does not match the description of a scratch. The hood appears to be severely damaged with significant deformation and missing parts. The image quality issues do not affect the assessment of the evidence standard being met.",img_1,false,none
user_009,images/sample/case_009/img_1.jpg,"Customer: My laptop fell from the table yesterday. | Support: Is it turning on? | Customer: It turns on, but the display glass has a crack now. | Support: Are you reporting the screen only or the whole laptop? | Customer: The screen is the issue. I attached a photo of it open.",laptop,true,"The image 'img_1' clearly shows the laptop screen with a severe crack pattern, meeting the evidence standard.",none,crack,screen,supported,"img_1 shows a clear view of the laptop screen with a visible crack pattern, confirming the claim. The image quality is satisfactory and no issues were noted.",img_1,true,high
user_010,images/sample/case_010/img_1.jpg;images/sample/case_010/img_2.jpg,"Customer: The laptop no longer opens smoothly. | Support: What seems to be wrong mechanically? | Customer: The hinge area has broken and the screen wobbles. | Support: Did this happen after a drop? | Customer: Yes, it slipped from the sofa. I uploaded photos from the outside and side.",laptop,true,"The first image (img_1) clearly shows visible breakage in the hinge area, meeting the evidence standard. The second image is a stock photo and does not contribute to the assessment.",non_original_image;manual_review_required,broken_part,hinge,supported,"img_1 shows clear visible breakage in the hinge area, supporting the claim of a broken part. The evidence standard is met, and there are no image quality issues affecting the assessment.",img_1,true,medium
